action_p,action_q,P_pots,P_max,Q_max,P_plus,Q_plus,stat,feas,compl,sum
0.9950267,-0.7912672,0.6459577,-0.16113567,0.0566442,-0.8875186,-0.08941543,1.8249636,0.004652727,0.00017121191,1.8297875
-0.7923307,0.96354175,-0.36067128,0.72101915,-0.023555338,0.31801486,0.2856326,0.79929405,0.0,0.0017645826,0.80105865
-0.036058545,-0.48215616,0.14459074,-0.82883066,-0.56220514,0.6093885,-0.8616129,0.7402297,0.0,5.3282547e-05,0.740283
0.23961055,0.27862954,-0.85953385,0.2733569,0.5289792,-0.18111992,0.5134039,1.1807432,0.0,0.0026350066,1.1833782
0.41552687,-0.122091115,-0.04201144,0.18185401,0.87925243,-0.73952377,-0.738558,0.78782827,0.0,0.0009186074,0.7887469
-0.36797756,0.1386038,0.95228267,-0.74745905,-0.9123714,0.058783293,0.886459,0.08066772,0.0,2.5440715e-05,0.08069316
-0.6166806,-0.68261266,-0.5415019,0.8276969,-0.37686503,0.75936735,-0.4663604,0.4129783,0.0,0.0008362689,0.41381457
0.6628871,0.57234776,0.45151234,-0.2586587,0.41012156,-0.43836826,0.15868747,1.1270875,0.0,0.0004011201,1.1274886
0.516747,-0.34663504,-0.63690466,-0.5771199,-0.20427352,-0.11694902,-0.5263144,1.782907,0.0,0.00056962465,1.7834766
-0.68807554,0.39269674,0.35164833,0.009439945,0.23749971,0.68623924,0.8486376,0.08085141,0.0,0.0005727914,0.08142421
-0.45228142,-0.9111936,-0.13798058,-0.4328642,0.70763886,0.38581598,-0.30001533,0.12699373,0.0,0.00017905625,0.12717278
0.2798543,0.8338803,0.85295475,0.9961649,-0.74072754,-0.81484723,0.07496786,1.2883275,0.0010023362,0.00021344013,1.2895432
0.06513107,-0.5524322,0.049073696,0.57989395,-0.85885334,-0.26399767,-0.17696029,0.68338263,0.0,0.00044697535,0.6838296
-0.14355958,0.6927321,-0.9593749,-0.022085845,0.82559705,0.94446325,0.44802272,0.5633971,0.0,0.002450121,0.5658472
-0.90303606,-0.23661578,0.55002654,0.41061234,0.35426748,0.23684418,-0.90325946,0.47549766,0.0,0.00023048065,0.47572815
0.8252164,0.0025641918,-0.46006805,-0.9718231,-0.32114828,-0.55854535,0.7216927,2.6725035,0.0,0.00015873284,2.6726623
0.7539685,-0.13188195,0.2561295,0.79433835,0.5941117,0.8881848,0.33584273,0.8494821,0.0,0.00062310114,0.8501052
-0.9586208,0.117093444,-0.7210729,-0.35371828,-0.5647006,-0.3173383,-0.039139926,0.009817166,0.0,0.0005503795,0.010367546
-0.21296912,-0.5634448,0.75706756,0.21178913,-0.09953511,-0.6106663,0.6231774,0.046350367,0.0,0.00020114302,0.04655151
0.011369467,0.6719855,-0.22178084,-0.65581185,0.07026112,0.17983425,-0.751775,0.68480265,0.0,0.00045999905,0.6852627
0.33547962,-0.9534017,-0.92989415,-0.79913414,0.46681404,0.73835874,0.99231005,1.8052405,0.0,0.00010534033,1.8053459
-0.3810693,0.7818749,0.08990502,0.36426616,-0.49619502,-0.059937596,-0.6326426,0.73906595,0.0,0.00046802883,0.73953396
-0.6342896,-0.27314442,-0.4309553,-0.19522113,-0.96456474,-0.7585693,0.20497513,0.15054779,0.0,0.00029194824,0.15083973
0.586135,0.4759233,0.5912262,0.6257099,0.99380815,0.43915713,-0.42000735,0.365904,0.0,0.00040474237,0.36630875
0.7342454,-0.7028569,-0.28028727,0.44396687,-0.6361816,0.1157856,0.7720746,2.2383869,0.0,0.00065164844,2.2390385
-0.5609701,0.5618398,0.7452607,-0.87675995,0.66545534,-0.6873952,-0.60294276,0.040447637,0.0,3.5409066e-05,0.040483046
-0.29868615,-0.008064568,-0.7797619,0.54995525,0.1394099,-0.38502002,0.061888337,0.270517,0.0,0.0018381915,0.27235517
0.4691552,0.24283338,0.24450624,-0.113729,-0.16882122,0.8156382,-0.31315917,0.875688,0.0,0.0005152715,0.8762033
0.18387485,-0.39940333,0.90766716,-0.46255666,-0.30191606,0.26466608,0.43102074,0.3794863,0.0,7.9399055e-05,0.3795657
-0.107396424,0.35164797,-0.067708015,0.9052521,0.2726724,-0.9437889,-0.19402659,0.051852968,0.0,0.0014324893,0.053285457
-0.8459985,-0.84279853,0.40628445,-0.54303086,0.7974669,-0.23812371,0.6412072,0.062220365,0.0,6.035486e-05,0.06228072
